name,year,A,A1,A2,A3,A4,B,B1,B2,B3,B4,C,C1,C2,C3,C4
黔东南苗族侗族自治州,2005,0,0,0,0,0,1,1300.0,196.8661957,196.8661957,0.0,0,0,0,0,0
天津市,2005,1,300.0,38.4659996,0.0,38.4659996,209,1137742.7292077453,233050.007547969,38235.48557351399,194814.521169007,115,1021479.8459301381,119106.66979912698,33554.108367035,85552.560910154
上海市,2005,3,790.0,635.6260070999999,46.375,589.2510070999999,580,1812584.0529551092,316500.32943736215,61926.01203073001,254574.31616352402,1411,12163697.23907455,1433754.173539915,136408.76976126607,1299009.4022690975
珠海市,2005,3,475.0,60.791797642000006,0.0,60.791797642000006,112,1069409.4970704,73058.82936773199,33282.912927312995,39775.917112417,86,249441.7754798,39161.175196012,1989.3082361250001,37171.866977024
福州市,2005,1,1428.0,145.072998,0.0,145.072998,77,361806.25,42454.680316221995,11783.498310657,30671.182090181996,26,41976.0500183,7560.890405653001,1581.80496021,5979.085463469001
苏州市,2005,3,473.0,376.0,267.85000038,108.14999962,726,6098600.785620412,690398.3159295801,125865.33161706202,564532.9852382871,124,516340.190984777,109620.45491548502,11912.835574448003,97707.61952081502
烟台市,2005,2,57.0,72.330003265,38.6651001,33.664899345,144,270875.92985816597,78822.870450272,16963.199239689002,61859.671054476006,12,53450.0,3974.6793158029996,102.613340144,3872.0659458499995
泉州市,2005,4,2063.0,632.2899933,40.07249832,592.2174988,187,964013.1302820599,87334.17596588201,14458.551603831002,72875.62486163403,23,125510.618164,23722.122425744994,5246.9329529,18475.189441944993
南京市,2005,2,570.0,318.0,0.0,318.0,96,554590.3999939,126983.23280922,34989.522996607,91993.70944536902,42,355523.270508,90230.13030975,24372.276896892,65857.853598286
大庆市,2005,0,0,0,0,0,1,1000.0,1000.0,0.0,1000.0,1,30.0,3.624599934,0.0,3.624599934
无锡市,2005,1,20000.0,1542.936035,0.0,1542.936035,189,1805036.756837355,481847.0562927091,42956.54399185601,438890.51255970093,28,348151.27999973,49592.0746505,8364.844428969998,41227.23046171
广州市,2005,1,1200.0,135.2505035,0.0,135.2505035,241,3474171.5393194,214099.56005059005,51014.731820429995,163084.82942038408,200,1566953.3686216169,144741.5847888571,18869.670465267,125871.91432142304
大连市,2005,3,80.80000019,20.207759857,4.103879929,16.103879929,144,5564181.662656458,150655.31711306903,20806.39465895901,129848.92385897698,70,1910637.4708198751,296838.4686123221,131264.26465554998,165574.19420843598
江门市,2005,3,2128.0,229.50500102,25.89299965,203.61199946,148,404057.57612001005,69084.44846069999,9650.449025256003,59433.99930003798,34,82008.454970331,23392.278119570004,3498.97544858,19893.302751737
